Title,Film Fest,Festival Program,All Pass,Status,Screenings,Tracking,Sub Date,Sales Company,Active,Submitted By,Submitted To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Print Coverage,Format Submitted,Log Line,Notes,,Screening,Priority I,Festival Wrap Up,Priority II,Bought By, Coverage Text Only,Insert Script File Here,Insert Coverage File Here
bottoms up,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Comedy,,,,,,04/23/2010,"Paris Hilton, Jason Mewes, David Keith, Tim Thomerson",,No Print Coverage,,"A Minnesota bartender arrives in Los Angeles to help his father raise money to save his small restaurant. A chance run-in with wealthy socialite Lisa Mancini gives him a taste of the fast, sordid and scandalous lifestyles of the Hollywood upper crust.",,,,,,,,,,
come the assasssin,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Action ,"Michael Philip, Chris Ver Wiel",$5Mil,,,,04/21/2010,"Thomas Kretschmann, Beatrice Rosen, Jurgen Prochnow, Rade Serbedzija, Offers out to Daniel Bruhl, Mads Mikkelsen",,No Print Coverage,,"With a $1 million bounty on his head, Europe's most infamous assassin emerges from years of
exile to rescue his kidnapped daughter in Belgrade, completely unaware that it’s a cunning ploy
by those who seek revenge to force him out of the shadows. His bloody and brutal past as a
KGB killer returns to haunt him as his only child’s life hangs in the balance.",,,,,,,,,,
dangerous parking,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Drama,,,,,,04/23/2010,"Peter Howitt, Saffron Burrows, Sean Pertwee, Tom Conti",,No Print Coverage,,"Noah Arkwright, a successful, hard living and indulgent independent British film director, finally decides to try and defeat the many addictions that are destroying him, his career and the people who care for him. But Mother Nature has other tests of strength and character in store for him",,,,,,,,,,
dementamania 3D,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Horror Thriller,Kit Ryan,,,,,05/08/2010,"Jay Baruchel, Christopher Walken (in negotiation)",,No Print Coverage,,"When a software engineer gets stung by a mysterious bug, it unlocks the door to a secret world inside his head, causing nightmarish fantasies and vivid hallucinations. As the bite rash spreads over his entire body, reality begins drifting further and further away, and the strange effects are felt by everyone around him.",,,,,,,,,,
devil's bridge,Cannes 2010,,Not All Pass,Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Horror,Chris Chow,,Chris Chow,,,05/08/2010,"Joshua Richards, Joseph Millson, David Schofield",,No Print Coverage,,"Sean takes his two friends Adam and Danny on a wild-goose chase into the rural wilds of Wales. The Red Herring plot delivers the City Boys into the uncharted, unknown and deeply alien territory of rural isolation where they accidentally cross William Perry, an equally desperate farmer, whose livelihood has failed and who has grown increasingly paranoid, hateful and suspicious of all around him. William is a man ostracized by his local community and peers, whose fear and hatred of outsiders is driven to new violent heights. The situation grows rapidly out of control, spiraling into a horrific ‘heart of darkness’ spree of pointless violence and revenge as William hunts the boys through the stark and unforgiving terrain.",,,,,,,,,,
dreamtime's over aka prey,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Action/Horror,,,,,,04/23/2010,"Natalie Bassingthwaighte, Jesse Johnson",,No Print Coverage,,Six friends head to the outback on a four-wheel drive adventure and come face to face with an ancient supernatural evil. The three couples drive into a sacred site where they unknowingly awaken a 5000-year old curse. ,,,,,,,,,,
everywhere and nowhere,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Drama,Menhaj Huda,,Menhaj Huda,,,05/08/2010,"James Floyd, Noel Clarke, Faran Tahir, Jimi Mistry, Tamer Hassan",,No Print Coverage,,"British-Asian rebel Ash is caught in a culture clash. Trapped in a mindless family business,
he seeks a way out of his mapped out, mundane existence.",,,,,,,,,,
GARFIELD'S PET FORCE 3D,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Animation ,,,,,,04/23/2010,,,No Print Coverage,,"Nothing can make the world's favorite feline get involved in anything besides eating, until the muscular super hero cat Garzooka of Comic Book Universe crashes into Garfield's Cartoon World with terrifying news about an invading sinister alien and her army of zombies. With the help of his friends, Garfield summons the willpower to join Garzooka in the fight to save their worlds.",,,,,,,,,,
hollywood north,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Comedy/Drama,,,,,,04/23/2010,"Matthew Modine, Alan Bates, Jennifer Tilly, Deborah Kara Unger",,No Print Coverage,,"A producer buys the film rights of a famous Canadian novel known as 'Lantern Moon' and plans the production, but Hollywood gets involved and the documentary filmmaker catches the whole debacle on film.",,,,,,,,,,
hour of the gun,Cannes 2010 ,,Not All Pass,Pre-Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Action Thriller,"Michael Philip, Chris Ver Wiel",$5Mil,,,,04/21/2010,"Offers out to Matt Dillon, John Leguizamo, Beatrice Rosen, Daniel Bruhl, Mads Mikkelsen",,No Print Coverage,,"Budapest, 1994. Expat American conman Charlie “Hustle” opens an upscale bar called Karma with the help of his dimwitted sidekick Bob “Kents” and enlists the local mob to staff his club with the sexiest and best “working girls” in the business. But when his star attraction mysteriously dies, the gangsters give him three stark choices: Pay for her death, kill someone, or be killed himself. With one night and a gun, survival becomes instinct as Charlie Hustle embarks on the most dangerous journey of his life.",,,,,,,,,,
I Melt With You,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Thriller Comedy,"Mark Pellington (U2 3D, The Mothman Prophecies, Arlington Road)",,,,,05/08/2010,"Thomas Jane, Dane Cook, Guy Pearce ",,No Print Coverage,,"Four college friends reunite for their annual summer reunion in a seaside town, but 25 years of disappointments and compromises resurrect a pact they vowed to live, die, and kill by...",,,,,,,,,,
iron sky,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Action Sci Fi,Timo Vuorensola,,"Johanna Sinisalo, Michael Kalasniko",,,05/08/2010,"Udo Kier, Gotz Otto, Julia Dietz",,No Print Coverage,,The Nazis Went To The Moon In 1945... In 2018 They Are Coming Back…,,,,,,,,,,
JOLLY BOYS LAST STAND,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Comedy/Drama,,,,,,04/23/2010,"Sacha Baron Cohen, Andy Serkis",,No Print Coverage,,,,,,,,,,,,
"magnificent eleven, the",Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Comedy,Irvine Welsh,,,,,05/08/2010,"Sean Bean, Dougray Scott, Robert Vaughn",,No Print Coverage,,"A modernization of the classic Western The Magnificent Seven, in which the Cowboys are a local amateur soccer team, the Mexicans run a nearby Tandoori restaurant, and the bandits are a group of menacing thugs led by a maniac known simply as American Bob.",,,,,,,,,,
minuscule 3D,Cannes 2010,,Not All Pass,Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Animation Family,"Thomas Szabo, Helene Giraud",,,,,05/08/2010,,,No Print Coverage,,"In a peaceful little clearing, the remains of a picnic hastily abandoned during a summer storm spark a war between two tribes of ants. At stake is a box of sugar. A bold young ladybug finds himself caught in the middle of this battle. He befriends one of the black ants and helps him save his anthill from the terrible red ant warriors.",,,,,,,,,,
mission london,Cannes 2010 ,,Not All Pass,Post-Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Comedy,Dimitar Mitovski,$3Mil,"Dimitar Mitovski, Alex Popov, John Drydon",,,04/23/2010,,,No Print Coverage,,"When a concert to celebrate Bulgaria joining the EU is being planned at the Embassy in London by Varadin the new ambassador, he needs to ensure the Queen of England attends. Things don't quite go to plan...With corrupt staff and criminal gangs operating out of the ktichen, Varadin falling in love with a stripper, and a little misunderstanding with a PR firm that provides look-alike royalties - The ambassador's simple task start to turn into a chaotic nightmare",,,,,,,,,,
O JERUSALEM,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,"war, action",,,,,,,"JJ Feild, Ian Holm, Tom Conti",,No Print Coverage,,"The story movingly illustrates a tragic friendship between two Americans - one Jewish, the other Arab - who are trapped on opposite sides of the conflict",,,,,,,,,,
PIMP,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Black Comedy,,,,,,04/23/2010,"Danny Dyer, Shauna Macdonald, Martin Compston",,No Print Coverage,,"24,000 people work in the London sex trade. One man wants out. A week in the lief of a Soho pimp that spins brutally out of control",,,,,,,,,,
rock my world,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Comedy Drama,,,,,,04/23/2010,"Alicia Silverstone, Martin Clunes, Peter O'Toole",,No Print Coverage,,"A rock band at the top of its game loses direction when their leader mysteriously disappears. They hire a new band member who helps them find new focus, and they decide to go into seclusion to develop a new sound. They rent a mansion from an aristocratic couple who are broke. When their hire help does not show, the couple pretends they are the band's butler and cook. Things go more funnily awry when the original band leader returns, revealing his disappearance was a publicity stunt.",,,,,,,,,,
sand and sorrow,Cannes 2010 ,,Not All Pass,Completed                     ,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Documentary,,,,,,04/23/2010,Narrated by George Clooney. Featuring contributions from President Barack Obama,,No Print Coverage,,,,,,,,,,,,
"scribbler, the",Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,"Film Noir, Sci Fi",Jake West,,Dan Schaffer,,,05/08/2010,,,No Print Coverage,,"A young woman recently released from a mental hospital and continuing a treatment programme to rid her of her alternate personalities, moves into a halfway house for mental patients where the residents begin to die at an unusual rate.",,,,,,,,,,
STONE OF DESTINY,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Adaptation Drama,,$12Mil,,,,04/23/2010,"Charlie Cox, Kate Mara, Robert Carlyle, Billy Boyd",,No Print Coverage,,"The incredible true story of four young Scottish college students who successfully outwitted English authorities to return the Stone of Scone, a beloved symbol of their country's national pride, to Scotland.",,,,,,,,,,
the reef aka shark bait,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Animation,,,,,,04/23/2010,"Freddie Prinze Jr., Rob Schneider, Evan Rachel Wood, John Rhys-Davies",,No Print Coverage,,"After losing everything, a young fish, Pi, goes to live with his family on the Reef.",,,,,,,,,,
three and out aka a deal is a deal,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Comedy Drama,,,,,,04/23/2010,"Mackenzie Crook, Gemma Arterton, Colm Meany, Imelda Staunton",,No Print Coverage,,"A London tube driver who has run over two passengers discovers that running over a third will make him rich with 10 years severance pay, so he finds a suicidal novelist to play along in exchange for the best weekend of his life",,,,,,,,,,
three$um,Cannes 2010 ,,Not All Pass,Pre-Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Thriller,"Michael Philip, Chris Ver Wiel",,,,,04/21/2010,"Offers out to Zachary Quinto, Isabel Lucas, Lina Esco, Daniel Bruhl, Mads Mikkelsen",,No Print Coverage,,"Running out of money, Ben and Holly, an American couple backpacking through Europe, decide
to smuggle drugs into Prague. Caught between a drug dealer and a U.S. Drug Enforcement
agent, they must depend on Delaney, a young high school student also from the states, to help
them walk out with $100,000. But when Ben’s interest in the seemingly innocent girl grows
beyond making money, it threatens to derail the scheme and get them all killed. Or is it all just
one big con, a manipulative mind game of lust and greed, where a pawn captures the king?",,,,,,,,,,
undertaking betty ,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Comedy,,,,,,04/23/2010,"Naomi Watts, Alfred Molina, Christopher Walken",,No Print Coverage,,"A woman whose husband is cheating on her and an undertaker, who's in love with her for ages, decide to fake her death so they can be together. However, the other undertaker who loves over the top funerals complicats things",,,,,,,,,,
veronika decides to die,Cannes 2010 ,,Not All Pass,Completed,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Drama ,,$6Mil,,,,04/23/2010,"Sarah Michelle Gellar, David Thewlis, Erika Christensen",,No Print Coverage,,"After a failed suicide attempt, Veronika discovers she has a weakened heart and only days to live. She then meets a curiously quiet and intriguing patient who reawakens her emotions, helping her find true love and the will to survive",,,,,,,,,,
warrioress,Cannes 2010,,Not All Pass,Post-Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,Action Adventure,,$2Mil,,,,04/23/2010,"Cecily Fay, Joelle Simpson, Helen Steinway Bailey, Christian Howard, Brendan Carr",,No Print Coverage,,The story features a wide array of vibrantly attractive and powerful female characters pitted against each other in mortal combat.,,,,,,,,,,
Wild EAST series,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,Stealth Media Group,,,,Not Film List,,"Action, Thriller","Michael Philip, Chris Ver Wiel",,,,,05/08/2010,,,No Print Coverage,,"WILD EAST TRILOGY From the rubble of communism came dreams of capitalism, and with those dreams came turmoil, intrigue, subterfuge, and unparalleled corruption. The Wild East trilogy mines that fertile narrative landscape to combine compelling characters in extraordinary circumstances with outstanding action sequences.",,,,,,,,,,
And Soon the Darkness,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,StudioCanal,,,,Not Film List,,Thriller,Marcos Efron,,,,,04/20/2010,"Amber Heard, Odette Yustman, Karl Urban, Adriana Barraza",,No Print Coverage,,Two beautiful Americans go on the trip of a lifetime through glorious landscapes in Argentina. And then one of them disappears…,,,"SUN 16 - 12:00@GRAY 1
WED 19 - 10:00@GRAY 1",,,,,,,
Attack the Block,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,StudioCanal,,,,Not Film List,,Sci Fi Comedy,Joe Cornish,,Joe Cornish,,,04/20/2010,,Script,Print Coverage,,,"(Mirjam) - Saw the mood reel, didn't look as good as I had hoped.  
For middle east it's good genre fun/ action. For others - first time feature director, so likely not a prebuy, but its a fun script, worth a look. It's a silly genre spoof that is more clever than most of its ilk. Film is meant to be in the style of John Carpenter, and its a lot of fun; young British gangbangers fighting against invading Aliens; I've read 3/4th of the script and its fun, breezy, it would be fun to watch.  The british slang is quite confusing, despite the fact that the director's statement insists it wont be confusing... (SM)",,,*B,Festival Wrap Up,,,"LOGLINE
An attractive young woman walks home through dark, dangerous streets in south London. She falls into an ambush. Five ghoulish, hooded youths surround her— they take her mobile, her purse, her engagement ring, but they want more. Just then, a fireball explodes out of the sky and destroys a nearby parked car.
From the wreckage emerges a vicious little alien that the youths hunt down, kill and triumphantly parade back to their block. But their adventure is not over. The night is still young and the attack on the block has only
just begun...

MW COMMENTS: 

I think it feels like a video game and that young teenage boys will really like it and even some immature older guys (and there are many of those!) . 

SM COMMENTS Fun, fresh and sticks with you; 

SUMMARY: 
A young woman SAM gets attacked by teen hoodlums, outside her apartment complex in the UK, but the attack is interrupted when a fireball falls from the sky and hits a nearby car. The hoodlums,  led by MOSES, find an alien in the car.  They beat the small but fierce alien to death.  “you killed an alien!” 

The FEDS interview SAM and ask her about the hoodlums. “There were five or six I think…” 

MOSES gets “hired” by HI-HATZ to deal drugs.  MOSES’s pals are all impressed.  Meteors start landing all over, “more of them nasty little gremlins!” It’s a full on Alien invasion and the hoodlums posit that the bigger aliens are coming to rescue/ avenge their predecessor. 

The gang all gear up, making excuses to their parents as to why they have to leave so late. “Back in a bit!” 

The gang find a big, fierce creature in an off license shop (liquor store). They burst out and head for their bikes, but stop when they see a police van coming straight for them.  Moses gets arrested and put in the back of the van along with SAM, who ID’d him. The aliens attack and kill the cops.  

ANDRE, one of the gang, kills an alien and pilots the Police van away from the melee, but crashes it head on into HI HATZ pimped out BMW.  Hi Hatz is furious, and doesn’t believe their excuse about Aliens, until one approaches, menacingly. “Looks like a dog, with… hands!” HI HATZ kills an alien, but not before his buddy gets killed.  The others take off. 

The gang get attacked by the aliens and wind up barricading themselves inside SAM’s apartment, much to her dismay.  She tries to attack them and defend herself, but they insist there are bigger problems tonight. “This is the block. We gotta take care of things our own way.”  An alien tries to burst in and Moses decapitates it with a samurai sword. 

Meanwhile, HI HATZ is still pissed at Moses and his gang, and vows to find them and teach them a lesson. 

MOSES realizes that the aliens seem to be after him; they get in a few more fights before deciding to hide in drug dealer ROY’s weed room which is enforced with steel doors, but HI HATZ sees him and starts chasing and opening fire.  “Is there anyone on this block that doesn’t want to kill you?”

As aliens swarm around, they are forced to climb up the outside of the building from Moses’ place to Roy’s.  HI HATZ was laying in wait, but he gets killed by an alien. The gang and Sam make it into Roy’s safe room. 

The boys win a final showdown against the aliens.  The cops finally arrive and ask Sam to testify against them but she refuses. 




",,ATTACK THE BLOCK.docx
"awakening, the",,,Not All Pass,Pre-Production,,Not Tracking,,StudioCanal,,,,Not Film List,,Horror Thriller,Nick Murphy,$10 Mil.,,Steve Murphy,,06/01/2010,"Rebecca Hall, Dominic West",Script,Print Coverage,,,,,,,,,,"COMMENTS: Dont think this is an urgent prebuy for anyone; the cast is small; the story is odd, I'm not sure what type of audience it's trying to appeal to; its set in a boy's school and has a very childish feel to it; but its also got sex, and some very adult elements which mean its not a family film; its a ghost story, but not particularly frightening; and the SIXTH SENSE type reveal at the end is hardly shocking; worse, the climax is a long flashback that resolves the lead females emotional backstory and had me groaning and looking forward to the resolution.  The begining of the script seemed promising and the relationship between Florence and Mallory seemed like it would be rife with tension and humor, but the script lost steam and by the end it was a slog to get through. pass. ",,
BEYOND SUSPICION,Cannes 2010,,Not All Pass,Unknown,,Not Tracking,04/20/2010,StudioCanal,,,,Not Film List,,Thriller,Gabriel Le Bomin,,,,,,"Laura Smet, Marc Andre-rondin, Charles Berling",,No Print Coverage,,"Love, greed and a pinch of jealousy are the ingredients of an outstanding thriller in the finest film noir tradition",,,,,,,,,,
Brighton Rock,Cannes 2010,,Not All Pass,Post-Production,,Not Tracking,,StudioCanal,,,,Not Film List,,Period,Roland Joffe,,Based on the novel by Graham Greene,,,04/20/2010,"Hellen Mirren, Sam Riley, Pete Postelwhaite",,No Print Coverage,,"Period Gangster Piece, about a young man and woman who get caught up in the gang life.",StudioCanal hopes for a Toronto Gala premiere.  Mirjam saw scenes and still thinks it's a difficult project.,,,,Festival Wrap Up,,,,,
Bruc,Cannes 2010,,Not All Pass,Development,,Not Tracking,,StudioCanal,,,,Not Film List,,Action Adventure,Daniel Benmayor,,,,,04/20/2010,"Juan José Ballesta, Vincent Perez, Astrid Berges-Frisbey, Jérôme Le Banner ",,No Print Coverage,,A brutal manhunt for the hero who single-handedly put a stop to Napoleon's victorious march across Europe.,,,,,,,,,,
Carlos,Cannes 2010,Cannes 2010 Out of Competition,Not All Pass,Completed,,Not Tracking,,StudioCanal,,,,Not Film List,,Action Thriller,Olivier Assayas,$18 Mil.,Olivier Assayas,,"Daniel Leconte, Jens Meurer",05/06/2010,Edgar Ramirez,,No Print Coverage,,"Follows the life of Ilich Ramirez Sanchez, a Venezuelan-born leftist revolutionary nicknamed Carlos and later Jackal who famously raided the OPEC headquarters in Vienna, Austria, in 1975. Known as the real life 'anti-James Bond,' Ilich worked for radical Palestinians and groups in Syria, Libya, Iraq and communist Romania. Manipulated by the secret services of Arabian and eastern countries, he founded a worldwide terrorist organization and ended up ridiculed and alone in exile in Sudan before being picked up by French police. 5h33",TV film in France,,"Thu 13 - 18.00@Arcades 2, Sat 15 - 18:00 & Mon 17 - 9:15 @STAR 1                                                                                               Wed 19 - 12.00 @Lumiere",,,,FR: StudioCanal,,,
last exorcism AKA Cotton,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,StudioCanal,,,,Not Film List,,Horror,Daniel Stamm,,,steve,Eli Roth,04/20/2010,,,Print Coverage,,"In 1971, at the age of 8, James “Cotton” Marcus became an evangelical minister.  In 2006, a documentary crew set out to capture his final days on the job. After decades of being a popular man of God, Cotton had long stopped believing in what he was preaching.  No longer interested in “taking advantage of people” and being involved in what he believed was a business of fraud, he was leaving the ministry in order to show his kids the meaning of an honest living.  Cotton Marcus was prepared to denounce God on film. On the crew’s first day, Cotton receives a letter from a poor farmer in Ivanwood, Missouri, who mentions possession and the devil existing on his farm and begs for Cotton’s help.  With an opportunity for the crew to film him at work and a chance to make some money, Cotton agrees to one last exorcism. An exorcism that would change his life forever…",From the creators of HOSTEL and DAWN OF THE DEAD.,,"SAT 15 - 10:00@PALAIS I
SUN 16 - 16:00@PALAIS K 'BORY'",,,,,"STUDIOCANAL

TITLE: Cotton
DIRECTOR:  Huck Botko, Andrew Gurnland
WRITER: No info
CAST: TBD
STATUS:  No Info
GENRE: Horror
READER: Steven Murphy

LOGLINE

A huckster preacher stumbles upon an exorcism case so terrifying that he winds up questioning his lack of faith while fighting to save his life and that of the girl he’s been hired to save. 

COMMENTS

Above average, intelligent horror, not straight popcorn stuff,  a bit more highbrow.  I haven’t seen the Exorcism of Emily Rose, but this seems cut from that same clothe (excuse the pun).  I didn’t like the handheld, home video angle, as that seems to be the go to stylistic choice in horror films these days, but the end sequence has the potential to be quite scary.  Would be better to watch the film, but interesting, also Roth’s name is a good sign, though he’s not directing.

SUMMARY

In 1971, at the age of 8, James “Cotton” Marcus became an evangelical minister.  In 2006, a documentary crew set out to capture his final days on the job. After decades of being a popular man of God, Cotton had long stopped believing in what he was preaching.  No longer interested in “taking advantage of people” and being involved in what he believed was a business of fraud, he was leaving the ministry in order to show his kids the meaning of an honest living.  Cotton Marcus was prepared to denounce God on film. On the crew’s first day, Cotton receives a letter from a poor farmer in Ivanwood, Missouri, who mentions possession and the devil existing on his farm and begs for Cotton’s help.  With an opportunity for the crew to film him at work and a chance to make some money, Cotton agrees to one last exorcism.

The Excorcism proves to be alarming, and Cotton is quickly thrown off his normally smooth, charming ways.  The Alcoholic Farmer OLIVER’s daughter NELL exhibits symptoms that seem inexplicable, and his son TYLER is a skeptic who seems to know COTTON is a fraud. Cotton performs a little mumbo jumbo that tricks Oliver, but is alarmed when he finds Nell in his motel room that night. “Want to make a porno?” When Cotton, Nell and the crew get back to the farmhouse they are alarmed to find TYLER cut and injured badly. OLIVER is upset – “you said the demon was out of her.”  Oliver takes Tyler to a hospital.  While Cotton is watching Nell, she runs off into the woods where Cotton finds her in a transelike state surrounded by strange inscriptions in rock; he is further shocked to find she is pregnant.  Suspicious that the baby is a product of insect, Cotton confronts Oliver, who seems to prompt Nell into claiming that the baby was given to her by the Church. “It doesn’t matter, we’re taking her to the hospital.”  Oliver, gun drawn, refuses to let them leave. Cotton and his film crew’s entire lives are in jeopardy. 

Cotton admits to desperate Nell that he’s a hustler, and claims he cant help her.  Church folk come over, claiming that Tyler called them.  They take over the situation, subduing the murderous Oliver and telling Cotton that Nell is too unstable to move. 

Cotton catches the church elders performing a demonic ceremony in the cave in the woods.  He stops them from killing Nell, but the ordeal leaves him thoroughly convinced of the presence of God and the Devil.  He takes up his father’s congregation, reborn, a new man, a new preacher, a sham no more. 

",,cotton.doc
Le Cochon De Gaza,,,Not All Pass,Pre-Production,,Not Tracking,04/02/2010,StudioCanal,,,,Not Film List,,Comedy,Sylvain Estibal,,Sylvain Estibal,,Franck Chorot,04/19/2010,Sasson Gabai,,Print Coverage,,"The script made me laugh, with really silly humor in a Roberto Benini kind of a way. Not only is it clownish physical/visual humor, but the dialogue is smart and funny as well. I enjoyed that it makes light of the Middle Eastern conflict by making fun of everyone on all sides.  If done well it could be a gem in the vein of BOMBON EL PERRO. This writer definitely has a vision and this vision succeeds with the message “why cant we just get along?”    One of the funniest parts is when the Israeli soldier goes down to watch the Soap Opera with Jafar’s wife. There were a few moments where it seemed like it was getting to be a bit much, but ultimately I think this writer is very talented with a vision and this project is something to CONSIDER, provided its in the BOMBON EL PERRO price range. There’s an animal involved, which is always cute, and if done right, the characters  and the audience start liking this animal. 
StudioCanal selling for sure",,,,,,,,"COCHON de GAZA 


MW COMMENTS 
The script made me laugh, with really silly humor in a Roberto Benini kind of a way. Not only is it clownish physical/visual humor, but the dialogue is smart and funny as well. I enjoyed that it makes light of the Middle Eastern conflict by making fun of everyone on all sides.  If done well it could be a gem in the vein of BOMBON EL PERRO. This writer definitely has a vision and this vision succeeds with the message “why cant we just get along?”    One of the funniest parts is when the Israeli soldier goes down to watch the Soap Opera with Jafar’s wife. There were a few moments where it seemed like it was getting to be a bit much, but ultimately I think this writer is very talented with a vision and this project is something to CONSIDER, provided its in the BOMBON EL PERRO price range. There’s an animal involved, which is always cute, and if done right, the characters  and the audience start liking this animal. 

SUMMARY

JAFAAR, a down on his luck fisherman, finds a pig in his net and hopes that his new catch will help him solve some financial woes, including debts around town that have become so drastic, the local shopkeeper is hounding his beleagured wife FATIMA, and the police have become involved, giving Jafar a time limit to repay his debts. 

JAFAAR finds that selling the pig is a troublesome task;  Knowing that no arabs or Israelis will eat the meat, he tries to sell it to a UN ambassador, but the ambassador is appalled and throws him out of the office.

The local barber recommends that Jafaar kill the pig and toss it back in the river, lending Jafaar a rifle to get the job done.  JAFAAR takes the rifle to the boat and misfires, shooting the pig in the foot.  

JAFAAR finds a Jewish woman on the other side of the settlement fence who is interested in buying the pig semen; to fertilize their batch of female pigs.  At first, he can’t successfully masturbate the pig, so he sells her his own sperm and pays off his debts at the local market. 

JAFAAR eventually succeeds in masturbating the pig, and gets paid very well for it, but still faces troubles; (like when a cop inadvertently drinks the pig semen), but eventually the deal dries up when Yelena tells him that the artificial insemination isn’t working and insists that he bring the actual pig to the border; a dangerous proposition for both of them.

JAFAAR takes the pig home, and his wife finds it;  she is devastated and fearful that they will be arrested. The political climate worsens and JAFAAR fears that he is going to be killed as a traitor after hearing that the Israelis use pigs to sniff for bombs. Jafaar yells at Yelena; and seems resigned to his fate.   He is caught by Jihadists and tells them the only reason he had the pig was as a weapon; he planned to use it as a bomb. They seem to believe him and tell him he must go on with his suicide mission.  

The Jihadists give Jafaar explosives for the pig as well as for himself.  Jafaar goes to the border and pleads with Yelena to take the pig but she tells him that the settlement is being evacuated.  The pig breaks free and runs into the settlement; exploding.  Jafaar escapes. He is lauded as a martyr by his fellow Palestinians, and hunted by the Israelis. 

Yelena runs off in search of the pig; chased by her younger brother who uses a pig of her own to hunt Yelena’s smell. Yelena, Fatima, the boy and Jafaar all find each other and run off together; finding a boat and trying to row to safety as the settlement and the city collapse around them.  They make it to a small island where they find the Barber who tells them that it is safe for all of them to return to the settlement and that the Iman has promised not to chase them. 


",,cochondegazaNEW.doc
Mahler on the Couch,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,StudioCanal,,,,Not Film List,,Drama,Felix Adlon and Percy Adlon,,,,,04/20/2010,"Johannes Silberschneider, 
Karl Markovics, Barbara Romaner",,No Print Coverage,,"August 1910. Devastated by the discovery that his beloved wife Alma is having a passionate affair with architect Walter Gropius, Gustav Mahler travels to Holland to consult with Sigmund Freud. ",,,"TUES 18 - 9:30@OLYMPIA 5
TUES 18 - 12:00@OLYMPIA 5",,,,,,,
My Afternoons With Margueritte,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,StudioCanal,,,,Not Film List,,Comedy,Jean Becker,,,,,04/20/2010,"Gérard Depardieu, Gisèle Casadesus",,No Print Coverage,,"In a small French village, a beautiful chance encounter with a retired old lady allows a simple man to blossom at last.",,,"WED 12 - 13:30@STAR 3
THURS 13 - 14:00@OLYMPIA 5
TUES 18 - 18:00@LERINS 2",,,,,,,
"Ordinary Execution, an",,,Not All Pass,Completed,,Not Tracking,,StudioCanal,,,,Not Film List,,Drama,Marc Dugain,,,,,,"André Dussollier, Marina Hands, Edouard Baer",,No Print Coverage,,"A beautiful doctor with a mysterious gift for healing is secretly taken to treat Joseph Stalin, a tyrant who holds the power of life or death in his hands.",,,,,,,,,,
