Title, Coverage Text Only
bodyguard of lies,"UNITED TALENT AGENCY

TITLE: Bodyguard of Lies
DIRECTOR: Lasse Hallstrom
WRITER: William Wheeler 
CAST: Possible : Adrien Brody, Paul Bettany
STATUS: In Development
GENRE: Biopic/ Espionage
READER: Steven Murphy

LOGLINE

A Spanish Rogue manages to earn the trust of both the Germans and the British in WW2 and becomes modern warfare’s most influential double agent, all while hiding the true purpose of his mission.

COMMENTS

A bit disappointing, I was more excited by the agent’s pitch than I ever was actually reading the script, which layers deceit on top of deceit with the implicit promise that a great secret about Pujol’s true allegiance would be revealed, ultimately leaving the  climax  as a bit of a let down.  Great international premise and fun role for Brody, but the script’s focus on Harris’ family and the strange relationship motivations between Pujol’s “mission” hindered what could have been a truly smart and unique film; The Harris family subplot introduced some heavy handed heartstring manipulation, while Pujol’s deep dark secret (he’s an orphan simply trying to impress his stern father) is a curveball that felt incomplete despite its basis in reality.  Hallstrom’s last project THE HOAX is tonally and thematically very similar, and though it too was based on a “truth is stranger than fiction” real life story, the direction wasn’t amazing and the film was a flop.  Execution of this type of story is quite tricky as it’s a period piece striving for intelligence, humor and intrigue, and I fear it’s the type of cross genre project that winds up alienating audiences rather than appealing to a large cross section.  Not a prebuy.

SUMMARY

MADRID JUAN PUJOL enters the German Embassy and wows high level agents including BREUGHEL with his intimate knowledge of their lives.  Juan vows to hate STALIN and offers his services in support of the Fuhrer.  Juan is sent to Britain to work as a spy. 

Juan sends coded letters back to Berlin, writing in florid detail about military goings on in Britain, and despite his fanciful storytelling a few of his details ring true and the Germans fund what they believe to be a massive “network” of spies run through Pujol, known as the “Arabol Network.” 

After earning the German trust, Juan approaches AGENT TOM HARRIS of the MI5.  Harris, aware of the presence of the spy “Arabol” had been on his tail for some time, and is understandably surprised by his unexpected arrival.  Juan insists that he’s loyal to the Allied forces and hates Adolf Hitler; he offers his services as a double agent.  Harris is shocked to realize that all of his letters to the Germans are completely fabricated: there is absolutely no network of spies… Pujol has fabricated every word of his correspondence.  

Harris and Pujol begin to collaborate on the letters in an attempt to confuse the Germans and surround the true Allied mission with a “Bodyguard of Lies.” Pujol is treated Royal by the MI5, given a lovely home and increased freedom, but he still seems unsatisfied and lonely.  Pujol continually tries to pry into Harris’ private life, and the Agent explodes when he finds Juan sharing an uninvited dinner with Harris’ family.  

Pujol manages to insist on weekly dinners at Harris’ home in return for his continued cooperation.  When a German spy comes to London to check on the validity of Pujol’s claims, Pujol narrowly manages to elude detection as a double agent.  Berlin continues to believe in his loyalty.

Pujol develops feelings for HILDY, Harris’ wife, and sabotages their relationship by insinuating that Harris has renewed an old extramarital affair with aide MARIE.  Hildy leaves Harris, taking their two young children to her sisters.  Harris explodes, literally strangling Pujol, before the agent is restrained and removed from the duty of working with Pujol.  

Harris grows increasingly suspicious of Pujol.  On the eve of the attack on Normandy, the MI5 is attempting to trick the Germans into moving troops out of Normandy, and Pujol is the key component in this subterfuge, but his row with Harris has threatened to destroy the operation.  Harris finds out that Pujol’s true allegiance is not to any government agenda: Pujol has engineered everything to impress his long lost father FERNANDO CONTRERAS: He has attempted to become a military hero and a family man in order to win the affection of his father.  When his father reproaches him again, Pujol is devastated and only a heartfelt intervention by Harris and his family convince Pujol to trick the Germans one final time.  

Based on their belief in “Arabol” the Germans move troops out of Normandy, a mistake that winds up costing them the war.  Pujol is awarded the highest medal of valor in Britain. 

"
"EVERY SONG IS ABOUT ME (TODAS LAS CANCIONES HABLAN DE MI) 
LAS CANCIONES HABLAN DE MI
LAS CANCIONES HABLAN DE MI",
Born To Suffer,
the lips (Los labios),
Café Du Pont,
dignitas,
"High Life, The",
just a beginning,
La Dame De Trefle (The Queen of Clubs),
Le Refuge,
Making Plans for Lena,
Night at the Opera,
On Tour (Tournee),
"Solitude of Prime Numbers, the",
Backyard ,
Chameleon,"LOGLINE

A young French con artist seemingly tricks a Louisiana family into believing that he’s their long lost son, but finds that his new “family”  has almost as much to hide.
 
COMMENTS

The lead male role has the potential to be extremely chilling, a possible break out role for  Grondin; but in order to sustain the eerie feel and make this movie work,  the young actor will be relied on heavily, indeed, a near virtuoso performance is necessary. Felicity Huffman’s role (presumably as Nick’s troubled mother) is juicy as well.  On the negative side, I think the fact that the story is essentially a detective novel, with all the action being viewed through the eyes of the FBI agent NANCY (Famke Jensen likely) greatly hinders the project. I felt the remarkably disturbing character becomes undermined by the hackneyed, formulaic genre in which his story is crammed.  With great performance this will be noteworthy.


SUMMARY

“I was locked in a house, taken hostage. Raped.” FREDERIC, a young Frenchman with a knack for adopting radically different personalities flees his native country and heads to the United States, where he poses as a missing child NICK who’d disappeared years ago.  With only a cursory knowledge of Nick’s background, Frederic’s plan seems farfetched, indeed the police and FBI agent NANCY RYAN are skeptical of “Nick” from the get go, but strangely, Nick’s family never seems to openly debate the identity of their returned “son,” despite consistent harangues and investigations.  CAREY, Nick’s sister is the most openly loving.  BEVERLY, the mother, seems a bit suspicious, but her hard partying ways and gruff exterior make her hard to read, and she keeps “Nick” at a distance.  Nick’s brother JASON seems openly hostile, but he too stops short of blowing the whistle on the imposter.  NANCY defies her superiors and ramps up her investigation of “Nick’s” identity, pressuring Carey to have “Nick” admitted into a hospital where DNA tests reveal that he indeed is not Nick.  When Nancy confronts Beverly with the truth, the mother slaps her in the face and defends “Nick.”  “We don’t ever want to see you again.” When Nancy again perserveres “Nick” attempts (or fakes to attempt) suicide, blaming Nancy for his grief.   Beverly’s behavior gets more erratic.  Nick moves in with her and catches her doing heroine.  Nick begins to fear for his safety and believe that Jason may have killed the real Nick and that Beverly may have known about it. “It’s God who sent you to punish me… you can’t die twice.”  Six Years Later Nick / Frederic is at it again, trying to convince French Authorities that he’s  a victimized child name FELIX.   Frederic asks Nancy to testify on his behalf, attesting to his instable mental capacity as a result of his ordeal “being pressured into lying about his identity” by Nick’s family.  Nancy does not come to his defense.“This time, Frederic, you really have to stop.” 
"
Coach,
"Invocation, The",
"Irishman, The",
needle,
"Reef, THe",
Road Train,
3:10 to yuma,"LIONS GATE

TITLE: 3:10 to Yuma
DIRECTOR: James Mangold
WRITER: Michael Branch and Derek Haas from a novel by Elmore Leonard
CAST: Russell Crowe,  Eric Bana
STATUS: In Development
GENRE: Western
READER: Steven Murphy

LOGLINE

A struggling rancher escorts a captured desperado to a distant town to catch a train headed to the court town of Yuma.  The villain's outlaw gang pursues the pair, desperate to free their leader at any cost.

COMMENTS

A well done adaptation with crackling dialog, rich setting and a story that moves along at a rapid clip.  Wade and Dan are the perfect yin and yang, defying the good guy/ bad guy stereotypes by being robust characters, men with tough choices and hard pasts… I’m a sucker for Elmore Leonard, and this story was satisfying in every way.  With the good director and strong cast, I give it a firm recommendation.

SUMMARY

DAN EVANS is a cattle rancher, who’s land is lying fallow due to a prolonged drought in the region.  His son WILLIAM is getting frustrated with their hard knock life and wants to run away from home, his son MARK suffers from chronic respiratory problems, and his wife is terrified that the family is going to starve.  

WADE, a ruthless outlaw, leads a gang of sharp-shooting, murderous bad guys with questionable loyalties.  Wade and his gang attack an armored stagecoach.  The coach is being guarded by Pinkerton Security guards, led by McELROY, whose got many years of service..  

The gang quickly kills several guards, but the armored walls of the coach are hard to penetrate.  Wade spooks DAN’s herd of cattle, causing them to stampede and knock over the coach, killing a few more guards, toppling the coach, and badly wounding McElroy. McElroy and Wade are old foes.  “I’m not gonna kill you,” Wade tells him.  

A young Pinkerton guard springs up and grabs a gang member, holding a gun to his head.  Wade doesn’t hesitate, he shoots his own man, knocking him to the ground, and kills the security guard.  

“He just shot his own man…”  Evans and his boys are standing on the hill, having watched the entire incident.  Marc is shocked, but William seems fascinated.  Wade sees the family and rides up to them.  Evans holds his ground, tells Wade that he wants his cattle back, and assures him that he wont tell the authorities. 

Wade and his men ride into the nearest town and tell the Marshall, WEATHERS that there was a stage coach hijacking, and the bandits stole the railroad’s loot.   BUTTERFIELD, the railroad owner is in the police station as well, and insists they go chase the bandits. Weathers, his deputy and Butterfield head off on a wild goose chase, while the gang walks into a local saloon. No one realizes that Wade has pulled a fast one on them, despite the fact that his wanted picture was plastered on the wall of the hq.

Wade and his men split up the loot, and Wade takes the local barmaid to bed, telling his men to head off without him.    Meanwhile, Butterfield and the lawman talk to Dan Evans, and realize they’ve been had. They turn to return to town in the hopes of catching up to Wade.

Dan walks into the bar and talks to Wade, telling him that he wants to be paid for the cattle that died in the robbery.  Wade obliges, surprised by the man’s confidence, but quickly gets upset when he realizes he’s been set up – WEATHERS and his deputies bust in and arrest him.  “Smile while you can,” he says to Evans coolly.

The lawmen realize that Wade’s men are going to return to town and kill them all if they don’t get Wade to a more secure location.  They ask for volunteers and offer a reward for joining their team.  McElroy, the Pinkerton guard, Billengsley and Dan all join.  Dan realizes that he can use the reward money to save his ranch.

In order to throw the gang off their tail, the secretly switch Wade out of the prison stagecoach, hoping that the gang will head off after it.  They give a deputy a gun, and Wade’s hat, and have him sit inside, pretending to be the outlaw.

Meanwhile, they stash Wade in Dan’s house.  His wife is livid about the whole proposition, and terrified to have the criminal in their home.  Dan insists that he must go, telling her they need the reward money, saying that if he dies, “at least I’ll go on my own two feet, not down on my knees praying for rain.”  

The lawmen head off, hoping to put Wade on the 3:10 to Yuma, a prison train that will bring Wade to lockup.  William sneaks out of the house and follows his father on the trail, refusing to turn back, even after stern retrobukes from Dan.  That night, while sitting by a campfire, Wade whips out a shiv and kills one of the deputies.  

The next day, the gang catches up to the prison coach and sets it on fire.  Terrified, the deputy tells the gang that Wade is being brought to the train station.  The gang let the deputy burn to death. 

The team crosses a ravine, where Wade gets the jump on McElroy and kills him.  Wade nearly gets away, but William manages to cross the ravine and point a gun at him, a teenager holding the ruthless killer at bay.  Later, Wade goes into the woods to take a piss, with Dan standing look out.  They get attacked by natives, and Wade saves the day, killing all the Indians.  Wade spares the lives of William, Dan and the others, before riding off, a free man (albeit one still in handcuffs). 

Wade makes his way to group of railroad workers and tries to get a chinese woman to smash off his handcuffs.  Wade is caught and tortured by a vicious team of workers.  Dan saves him, but during the skirmish another one of their team, DOC POTTER gets shot and killed.  Wade, Dan, William and Butterfield escape through a tunnel, the railroad gang forced to give up their chase when the tunnel collapses.  

Shortly after, Wade’s gang finds the Railroad gang and inquires about Wade’s whereabouts, before kills all of them.

Dan and the others make it to the town with the train station, CONTENTION, a run down hellhole full of drunks and whores.  They have two hours to kill before the train arrives.  They hole up in a hotel and wait nervously.  Butterfield hires local lawmen to help and they sit in the room, as Wade calmly tells them that his gang is going to kill them all.  William keeps lookout, and returns with the news that the gang is coming.  “Which is it boy?  Ten or eleven?

The gang arrives and quickly finds Wade.  They stand in the street outside the hotel, and CHARLIE, who’s been leading them in Wade’s absence, calls out to all the locals, offering a reward for any townsfolk who shoot any of the lawmen.  The riff raff hoot and holler, running off to get any weapons they can find.  The lawmen now have to deal with not only Wade’s gang of vicious killers, but a townfull of defacto bounty hunters as well.  One by one, the Contention lawmen give up.  Even Butterfield’s resolve dies, and he begs Dan to  give it up, telling him that he’ll still pay him.  Dan insists on taking Wade to the train, knowing that it’s his own death sentence.  He sends William away with Butterfield. “You just remember how your old man walked Ben Wade to the train station, when no one else would.”  William reluctantly leaves.

The clock hits three and Dan valiantly leads Wade out at gun-point.  The two men dodge gun fire as they hide behind stage coaches, run through alleys, across rooftops and through factories. Wade, who seems to be growing fond of Dan, even kills one of the townsfolk. “That was for saving me.  Now we’re even.”  Dan kills his first man.  “Don’t worry, you get used to it.”

Unbelievably, Dan and Wade make it to the train station, but the 3:10 to Yuma is late.  Dan hides in a ticket booth as the gang circle him.  William, who turned back to help his father, cuts loose a herd of cattle, reminiscent of Wade’s ploy during the stagecoach robbery.  The herd stampedes past the station, and almost provides the perfect distraction… the gang can’t get off a shot.  Just as Dan is about to put Wade on the train, Charlie walks up, guns drawn.  “Put your guns down, Charlie, that’s an order,” Wade barks.   Charlie ignores him and shoots Dan.  Wade holds Dan, and as he dies, the skies open up and rain begins to fall, the drought finally over.  Wade, in a rage, kills Charlie, along with all of his gang.   “Did you see that?  He just shot his own men!”

William walks up and points his gun at Wade, who has already tossed his guns on the ground.  William has bloodlust in his eyes, but takes his father’s advice, “never kill an unarmed man.”

Wade rides off, alone.

 
"
Abduction,"LOGLINE:
When a teenage boy starts to suspect he was abducted as a small child, he makes inquiries only to discover that he is being pursued by well-funded, expert Ukrainian assassins.

COMMENTS: Tightly written, suspenseful.  Fast-paced.  Not a hugely believable idea, but who cares?  ABDUCTION is an interesting “what if?” that plays out well, has a young male protagonist who is both confused and heroic, and audiences looking for an upbeat actioner with some clever plot twists could do a lot worse.  ABDUCTION is an appealing package for all ages, with strong and exciting action sequences (although there’s nothing new – is there anything new anymore? – and basically everyone but the key players die).  Good commercial appeal, both theatrical and otherwise.  Might not make the top 10 list but should do decent business.  Popcorn only.

Steve's comments: A piece of business that could work for popcorn territories only; there's a LOT of suspension of belief required to enjoy this film, and the plot twists come fast and furious.  I could definitely have done with some better dialog and less characters; I felt like they introduced a new suspicious character every five pages or so.  Not an amazing script, but not terrible either - good action writing for the most part, and it was engaging and exciting, if pretty unbelievable.  Singleton is a decent director as well, so this should be a good bet, I'm just not super passionate about it.  Popcorn B list.

SUMMARY:
OPEN in 1994, inside a hotel near Toronto’s CN Tower.  A room is filled with poisonous gas and a WOMAN gasps for breath.  Her attackers are KOZLOW and BECKER, Ukrainians.  Kozlow gives her a mask to breath for a moment, and demands to know where “The Locust” is.  The woman refuses to tell him and rips off her mask, throwing it away.  It lands under the bed.  Kozlow and Becker discover a file of interest among the Woman’s things.  They leave her to die.

Present day Virginia.  NATHAN HARPER is a normal teenager, living with his parents and going to school like millions of other teenagers.  Though he parties with his friends and appears well-loved by his parents, he nonetheless feels like a man apart and wonders how it can be that he was raised by his parents and barely knows them.  He sees a PSYCHIATRIST for insomnia and anxiety attacks, and he often speaks of a recurring dream/nightmare where an unfamiliar WOMAN sings him a lullaby (“Que Serra”) before leaving him alone in the dark.  

KAREN is a pretty cheerleader with a boyfriend, and Nathan notices her.  She doesn’t seem to see him, even though she lives across the street.  One day she records him singing to himself and posts it on youtube.com, causing Nathan enormous embarrassment.  He lashes out at her and she responds, but she eventually realizes just how hurtful her actions were.  She apologizes several times before Nathan finally agrees to forgive her, and they mark their new friendship by partnering on a school essay about missing children.

As Karen and Nathan begin their research, they find a website with a little boy who looks very much like Nathan.  He is shaken.  Despite the reassurance of his classroom partner KAREN he calls the missing children line, but when he is asked for his address he senses something awry and hangs up.  He even finds the same shirt he was wearing in the picture – and it has the same ketchup stain on the shoulder.  

But Nathan’s call is secretly monitored by an OLDER MAN, who is concerned.  

The next day, Karen comes over and goes innocently into the bathroom.  At that moment, two mysterious MEN show up at Nathan’s house and confront his parents about Nathan’s search of the missing children’s website.   Nathan’s parents reach for hidden guns while Nathan, oblivious, receives a call on his cell from the Older Man.  The Older Man tells Nathan to get out of the house, and astonishes the teen by mentioning his private dream of the woman singing to him.  He tells Nathan that he was hired by his real father to keep him safe.  Suddenly, downstairs, guns go off and both Nathan’s parents are killed; Karen sees the whole thing but remains hidden.  The police swarm in, Nathan takes off, returns to save Karen, and then they book it the hell out of there.  

Now on the run, Karen is taken into custody as Nathan meets the Older Man in a pub.   The TV news blares that he is a suspect, and the pub patrons surround him until the Older Man brandishes a shotgun and gets him out of there.  He gives the teen instructions to find a man named RASMUS in Modesto.   Suddenly the car they are in is pushed from a bridge by another car, and the Older Man is killed.  Nathan swims to safety as bullets fly around him.  

Back at Nathan’s house, police detective WESLEY investigates the murders of his parents and is
helped by an arson expert he requested from the US Marshals, JACK SHAPIRO.  Shapiro and his partner reveal that the weaponry used in the attack was foreign-made and far beyond anything a teenager had means for; they further reveal that the home was extensively monitored by surveillance cameras.  

Nathan contacts his best friend GILLY who meets him with a number of brand new IDs and a gun (which Nathan refuses).  Karen meets them, determined to stay with Nathan.

They board a train.  Karen leaves Nathan to get them food from the dining car, but the generous portions she takes tips off a STRANGER who follows her, attacks her, leaves her barely conscious and takes the key to their sleeping compartment.  The Stranger finds Nathan, who outsmarts him, kills him, and then takes Karen off the train to a small town after rifling through some of the Stranger’s papers (with Ukrainian writing on them).  

Nathan and Karen try to bandage their wounds and change their appearances.  They enter a drugstore but the OWNER is clearly hostile, so they hurry out only to find themselves surrounded by (unarmed) CIA men headed by FRANK BOYER.  Boyer produces Nathan’s psychiatrist, who was working for them all along.

Boyer sends Karen home, and explains to Nathan that his real father is a deep cover black ops agent (known as “the Locust”) with powerful enemies across the globe.  If those enemies learned of Nathan’s existence, his father would be vulnerable.  So Nathan has been hidden and under federal protection his entire life.  His parents, he is told, wanted him to have a normal teenage life, so they pulled the daily detail that had been following him everywhere.

Elsewhere, Wesley is told by the CIA to cover up Nathan’s retrieval; they don’t want the info leaked.  Instead, he passes on information of Nathan’s location to someone via phone in exchange for money.  

While on the plane with the CIA team preparing for take-off, Nathan notices a telephone number found in the Stranger’s belongings.  He furtively calls the number and gets SHEALY, a CIA operative working with Boyer, and sitting just a few feet away.  So Shealy is working with the Ukrainians!  In a panic, he flees from the plane but is quickly recaptured, this time by Kozlow and Becker.  Kozlow reveals that his personal vendetta against Nathan is because Nathan’s father killed Kozlow’s son.  Boyer insists it was the result of an accident but Kozlow isn’t moved. 

Nathan is knocked unconscious, and when he awakens he finds that Kozlow also abducted Karen when she was returned home.  They are in the same hotel room where he gassed the young Woman 15 years earlier.  That woman was Nathan’s Mother, and Kozlow confesses his error:  he let the Woman die but never checked under the bed.  FLASHBACK to that scene, where the Woman flings the gas mask under the bed, where 3 year old Nathan quickly put it on and survived.  Kozlow intends to torture Nathan to death, but suddenly sniper fire breaks out, aiming only at Kozlow and Becker.  The sniper’s sharp shooting frees Nathan and Karen, and they flee to the CN Tower’s roof, from where the shots are coming.  Kozlow and Becker give chase, but Nathan and Karen get to the top of the tower, where the MASKED SNIPER tells Nathan he’s his FATHER, the Locust.  Suddenly the Locust is shot by Kozlow and falls over the roof’s edge.  

Rather than kill Kozlow, Nathan cuffs him and leaves him for the police.  Then he flees, 
determined to be on his own.  The authorities capture Kozlow, and later Wesley discovers that he’s been under intense surveillance as well and is apprehended for his betrayal of Nathan’s whereabouts.   Boyer learns that Shapiro, the arson expert, was not really with the US Marshals, and at that moment he gets a call on the special “red phone.”  It is MARTIN, aka Shapiro, Nathan’s true father, the Locust (and who posed as Jack Shapiro).  

Martin/The Locust dresses his wound while chastising Boyer for allowing Nathan to be exposed to such danger.  CUT TO Nathan, with no one to go to and nowhere to turn, returns to the Old Man’s instructions tracks down RASMUS in Modesto.  Rasmus turns out to be the man posing as Shapiro’s arson associate (but whom Nathan never saw).  Rasmus admits that that is his name, but tells Nathan he has the wrong house; he knows nothing of the boy, his predicament, or the answers to his questions.  Rasmus returns to dinner with his lovely family.  

In the final scene, Nathan waits by himself at a lonely bus stop in the middle of the desert.  Rasmus drives by, stops, and tells the boy to get in.
"
Alpha and Omega: 3-D,"LOGLINE
A strong female wolf and a weaker male wolf try to return to their park after being relocated by park rangers.

COMMENTS
A standard-issue animated family film that hits all the usual marks, character-wise, plot-wise, beat-wise – and as a result, comes across as fairly generic and unexciting, despite several strong set-pieces.  The chief problem is the defiantly old-fashioned nature of the project – coming after the innovations of Pixar and the whole self-aware post-SHREK attitude of animated entertainment, a story like this – one that doesn’t try anything out of the ordinary, in any way – feels strangely dated, more like a direct-to-video Disney knockoff than a fresh new vision.

STEVE COMMENTS - Far cry from the originality of top level animation projects (think Brad Bird).  Sure to be pricey as well, this is decent family fare but not an amazing script.  The characters are charming, the story alright, but my hopes were higher.  Nothing really negative to say about it other than it could have been much more clever and imaginative. Mixed for popcorn. Poporn B or C. 

SUMMARY
Jasper Park, Canada.  Four “omega” teenage wolves – HUMPHREY (the leader), SALTY (the “dude” type), MOOCH (chubby), and SHAKEY (smart) – try to slalom a log down a hill, only to nearly collide with KATE, a girl wolf who’s about to leave for “alpha wolf” school for the winter.  Humphrey is clearly attracted to her.
The following spring, Kate returns.  Humphrey watches her, mesmerized, as she saves rival “eastern pack” wolves SCAR and CLAWS from being trampled during a caribou hunt.  He is warned by his friends that he can’t have her – she’s an alpha now, and he’s an omega, which makes any relationship illegal.  At home, Kate’s father, WINSTON, bemoans their lack of food due to eastern raids.  One of their hunters, CAN-DO, is brought in with injuries; Winston and his wife, EVE, call for the alphas to be placed on alert.
Winston confronts TONY, the eastern pack leader, who reminds him of their plans to unite the packs by marrying Kate to Tony’s alpha son, GARTH, who Kate’s younger sister, LILLY, worships.  To avoid a war for the remaining caribou, Winston agrees.  Humphrey is heartsick, but Kate feigns interest in Garth, despite his irritating, jock-ish nature.  Only moments after a disastrous first date with Garth, however, Kate and Humphrey are tranquilized by PARK RANGERS involved in a wolf relocation program…and transported to Sawtooth, a wildlife preserve in Idaho.
Upon being set loose, Kate and Humphrey enlist the help of a golf-obsessed goose, MARCEL, and duck, PADDY, to find out the truth: they’ve been relocated to populate the park with baby wolves.  Meanwhile, back in Jasper, Lilly puts the moves on Garth as tensions build between the wolf packs.
Kate and Humphrey sneak a ride in the camper of GARN and DEBBIE, two park visitors on their way to Jasper; Marcel and Paddy fly overhead.  Then, at a truck stop, Humphrey tries to retrieve cupcakes from a trash can and is nearly shot by the owner.  Kate saves him; they flee into the woods.  Marcel and Paddy catch up to them and suggest they catch a ride on the Canadian Express train.  As they head off to find it, up in Jasper, Scar and Claws spy on Garth and Lilly and plot…
Upon nearing the train, Humphrey accidentally pisses off a group of BEARS; he and Kate barely escape by falling through a ravine onto a glacier, where Humphrey saves her life with his slalom skills.  They make it onto the train, and fall for each other on the trip; meanwhile, Tony catches Garth with Lilly, and declares war on Winston’s wolf pack.
The train arrives in Jasper Park.  Before Humphrey can declare his love for Kate, they come upon the brewing conflict between the packs.  Kate declares her intention to marry Garth and restore peace.  Humphrey is crushed and decides to leave Jasper.
During the wedding ceremony, Kate declares she can’t marry Garth, for she is in love with Humphrey, an omega.  Garth declares that he, too, loves an omega – Lilly.  Tony rejects this; a fight breaks out, which is interrupted by a caribou stampede.  Humphrey returns, and with Kate’s help, utilizes his log-racing skills to save Tony and Winston from the oncoming herd.
Kate and Humphrey are allowed to marry, as are Garth and Lilly.  Winston and Tony befriend Marcel and Paddy.  Kate and 

"
atm,"LOGLINE 
Three co-workers end up in a desperate fight for survival when they become trapped by a psychotic killer.
 
COMMENTS 
Not a huge fan of this project; (and I wasn’t a huge fan of BURIED either… but that script may actually have been better). The killer has absolutely no reason for doing this; so we basically watch a random act of violence unfold for the course of ninety minutes.  The premise seems contrived; the criminal seems to inexplicably possess super powers, and the main characters don’t really come up with any really smart or interesting ways to get out of their situation.   This is trying to capture the style of OPEN WATER in an ATM vestibule, and it doesn’t work very well. 
 
SUMMARY 
DAVID, bored at work, reluctantly agrees to come to the office xmas party when his  buddy COREY tells him that his longtime crush EMILY will be there. 
 
At the bar, David has an awkward conversation with her but manages to talk her into letting him drive her home.  Much to his chagrin, the inebriated Corey demands to get a ride home as well; and on the way insist they stop at an ATM so he can get some food. 
 
Corey doesn’t have enough cash in his account, so David and Emily join him in an ATM vestibule. It’s one am, and the parking lot surrounding the ATM is abandoned, until a terrifying, huge MAN in a parka stands outside the vestibule; staring at them. Emily gets freaked out; but Corey insists they’re overreacting; until someone else a MAN WITH A DOG, walks up and the MAN kills him, right in front of them.   They all freak out; but none of them have a cellphone. 
 
David tries to run to their car to grab Emily’s phone, but the man breaks through the window, pulls him out and starts beating him.  David manages to make it back into the ATM vestibule; but they know they’re not really safe in there: the lock on the door is broken, but the MAN doesn’t realize it yet. 
 
To make matters worse; they all seem to be suffering from early stages of hypothermia. 
 
They manage to get a security guard’s attention, but he gets killed by the MAN; who smashes his head in with a tire iron.  
 
They are so cold they start to hallucinate a bit; but jump into action when the Man with the Parka bursts into the vestibule. David and Corey attack him and get the upperhand, choking him to death with the wire that attaches the pen to the Atm.  Emily shrieks; realizing THE MAN is still outside; David and Corey killed an innocent man.
 
Corey, fed up, makes a break for it but the man easily catches him and attacks stabbing him in the gut with a screwdriver. 
 
Corey barely survives, and David and Emily run outside to help him get back into the vestibule. 
 
The MAN rolls David’s car in front of the ATM, blocking the door and effectively trapping them inside.  He then pulls a hose to an opening and pours in freezing cold water. 
 
Emily and David start a fire, using deposit slips and the dead man’s lighter; which sets off the sprinklers and an alarm. The man crashes the security guards car into the atm, destroying the glass and injuring Emily; who bashes her head and dies. 
 
David grabs a tequila bottle and makes a Molotov cocktail; burning the MAN alive, but is surprised to see the man doesn’t move an inch; David was tricked and accidentally burned the dead body of the security guard.  Cops arrive and THE MAN disappears. David is arrested for all the murders; and the security camera footage supports the theory, because the man never came within range of the camera. 
 
"
"Baster, The",
Blitz,
